"Avaliacao","Lucro_Mediana","Lucro_Min","Lucro_Max"
222,299,82,468
223,301,82,468
224,301,82,468
225,301,82,468
226,302,82,468
227,302,82,468
228,302,82,468
229,302,82,468
230,302,82,468
231,302,82,468
232,345,82,468
233,345,82,468
234,345,82,468
235,345,82,468
236,345,82,468
237,345,82,468
238,345,82,468
239,345,82,468
240,345,82,468
241,345,82,468
242,345,82,468
243,358,82,468
244,358,82,468
245,358,82,468
246,358,82,468
247,358,82,468
248,358,82,468
249,358,82,468
250,358,82,468
251,358,82,468
252,358,82,468
253,358,82,468
254,358,82,468
255,358,82,468
256,358,82,468
257,358,82,468
258,358,82,468
259,358,82,468
260,358,82,468
261,358,82,468
262,358,82,468
263,358,82,468
264,358,82,468
265,358,82,468
266,358,82,468
267,358,82,468
268,358,82,468
269,358,82,468
270,358,82,468
271,358,82,468
272,358,82,468
273,358,82,468
274,358,82,468
275,358,82,468
276,358,82,468
277,358,82,468
278,358,82,468
279,358,142,468
280,358,142,637
281,358,142,637
282,358,142,637
283,358,142,637
284,358,142,637
285,358,142,637
286,358,142,637
287,358,142,637
288,358,142,637
289,358,142,637
290,358,142,637
291,358,142,637
292,358,142,637
293,358,142,637
294,358,142,637
295,358,142,637
296,358,142,637
297,358,142,637
298,358,142,637
299,358,142,637
300,358,142,637
301,358,142,637
302,358,142,637
303,358,142,637
304,358,142,637
305,358,142,637
306,358,142,637
307,358,142,637
308,358,142,637
309,358,142,637
310,358,142,637
311,358,142,637
312,358,142,637
313,358,142,637
314,358,142,637
315,358,142,637
316,358,142,637
317,358,174,637
318,358,174,637
319,358,174,637
320,358,174,637
321,358,174,637
322,383,174,637
323,383,174,637
324,383,174,637
325,383,174,637
326,383,174,637
327,383,174,637
328,383,174,637
329,383,174,637
330,383,174,637
331,383,174,637
332,383,174,637
333,383,174,637
334,383,174,637
335,383,174,637
336,383,174,637
337,383,174,637
338,383,174,637
339,383,174,637
340,383,174,637
341,383,174,637
342,383,174,637
343,383,174,637
344,383,174,637
345,383,174,637
346,383,174,637
347,383,174,637
348,383,174,637
349,383,174,637
350,383,174,637
351,383,174,637
352,383,174,637
353,383,174,637
354,383,174,637
355,383,174,637
356,383,174,637
357,383,174,637
358,383,174,637
359,383,174,637
360,383,174,637
361,426,174,637
362,426,174,637
363,426,174,637
364,426,174,637
365,426,174,637
366,426,174,637
367,426,174,637
368,426,174,637
369,426,174,637
370,426,174,637
371,426,174,637
372,426,174,637
373,426,174,637
374,426,174,637
375,426,174,637
376,426,174,637
377,426,174,637
378,426,174,637
379,426,174,637
380,426,174,637
381,426,174,637
382,426,174,637
383,426,174,637
384,426,174,637
385,426,174,637
386,426,174,637
387,426,174,637
388,426,174,637
389,426,174,637
390,426,174,637
391,426,174,637
392,426,174,637
393,426,174,637
394,426,174,637
395,426,174,637
396,426,174,637
397,426,174,637
398,426,174,637
399,426,174,637
400,426,174,637
401,426,174,637
402,426,174,637
403,426,174,637
404,426,174,637
405,426,174,637
406,426,174,637
407,426,174,637
408,426,174,637
409,426,174,637
410,426,174,637
411,426,174,637
412,426,174,637
413,426,174,637
414,426,174,637
415,426,174,637
416,426,174,637
417,426,174,637
418,426,174,637
419,426,174,637
420,426,174,637
421,426,174,637
422,426,174,637
423,426,174,637
424,426,174,637
425,426,174,637
426,426,174,637
427,426,174,637
428,426,174,637
429,426,174,637
430,426,174,637
431,426,174,637
432,426,174,637
433,426,174,637
434,426,174,637
435,426,174,637
436,426,174,637
437,458,174,637
438,458,174,637
439,458,174,637
440,458,174,637
441,458,174,637
442,458,174,637
443,458,174,637
444,458,174,637
445,468,174,637
446,468,174,637
447,468,174,637
448,468,174,637
449,468,174,637
450,468,174,637
451,468,174,637
452,468,174,637
453,468,174,637
454,468,174,637
455,468,174,637
456,468,174,637
457,468,174,637
458,468,174,637
459,468,174,637
460,468,174,637
461,468,174,637
462,468,174,637
463,468,174,637
464,468,174,637
465,468,174,637
466,468,174,637
467,468,174,637
468,468,174,637
469,468,174,637
470,468,174,637
471,468,174,637
472,468,174,637
473,468,174,637
474,468,174,637
475,468,174,637
476,468,174,637
477,468,174,637
478,468,174,637
479,468,216,637
480,468,216,637
481,468,216,637
482,468,216,637
483,468,216,637
